"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Fluke Interview","Self Introduction","Easy","mcq","What is the recommended way to start a self introduction in a QA interview?","Start by listing all your certifications","Begin with your name, experience summary, current role, and key skills relevant to the position","Start by discussing your salary expectations","Begin by asking the interviewer about the company","B","A strong self introduction should cover your name, total experience, current role, technologies you work with, and how your skills align with the job description.",""
"2","Fluke Interview","Self Introduction","Easy","mcq","Which of the following should be included in a QA engineer's self introduction?","Tools and frameworks used (e.g., Selenium, Pytest, Jenkins)","Detailed personal life history","Names of all colleagues","Company revenue details","A","Mentioning the tools, frameworks, and methodologies you have hands-on experience with helps the interviewer assess your technical fit quickly.",""
"3","Fluke Interview","Framework Explanation","Medium","mcq","In a Data-Driven Testing framework, where is the test data typically stored?","Inside the test script as hardcoded values","In external sources like CSV, Excel, JSON, or databases","In the browser cache","In Selenium WebDriver configuration files","B","Data-Driven Testing separates test data from test scripts. Data is stored externally (CSV, Excel, JSON, DB) and fed into tests at runtime.",""
"4","Fluke Interview","Framework Explanation","Medium","mcq","What is a Hybrid Testing Framework?","A framework that only uses keyword-driven approach","A framework that combines Data-Driven and Keyword-Driven approaches","A framework that does not use any external data","A framework that only works with Java","B","A Hybrid Framework combines the advantages of both Data-Driven and Keyword-Driven frameworks, making it more flexible and maintainable.",""
"5","Fluke Interview","Framework Explanation","Medium","mcq","In a Keyword-Driven Framework, what does a keyword represent?","A Python reserved word","A specific action to be performed on the application (e.g., click, type, verify)","A database query","A CSS selector","B","In Keyword-Driven frameworks, keywords represent actions like click, enter_text, verify_element. Each keyword maps to a reusable function.",""
"6","Fluke Interview","BDD vs TDD","Medium","mcq","What is the primary difference between BDD and TDD?","BDD uses Gherkin syntax and focuses on behavior from a user perspective; TDD focuses on unit-level code correctness","TDD uses Gherkin syntax; BDD uses assertions","BDD is only for manual testing; TDD is for automation","There is no difference between BDD and TDD","A","BDD (Behavior-Driven Development) describes tests in plain language (Given-When-Then) focusing on behavior. TDD (Test-Driven Development) writes unit tests first before writing production code.",""
"7","Fluke Interview","BDD vs TDD","Medium","mcq","Which tool is commonly used for BDD in Python?","Pytest only","Behave","Selenium WebDriver","Jenkins","B","Behave is the most popular BDD framework in Python. It uses feature files written in Gherkin syntax with step definitions in Python.",""
"8","Fluke Interview","OOPs Concepts","Medium","mcq","How is inheritance used in a Selenium test automation project?","By copying code from one file to another manually","By creating a BasePage class with common methods and having page classes inherit from it","By writing all methods in a single file","By using global variables","B","Inheritance allows creating a BasePage class with reusable methods (click, find_element, wait) that all page object classes can inherit, reducing code duplication.",""
"9","Fluke Interview","OOPs Concepts","Medium","mcq","What is encapsulation in the context of a Page Object Model?","Making all variables public","Bundling page elements and their interaction methods within a single class, keeping locators private","Writing all tests in one file","Using only XPath locators","B","Encapsulation in POM means keeping locators private to the page class and exposing only meaningful methods. This hides implementation details from test scripts.",""
"10","Fluke Interview","OOPs Concepts","Hard","mcq","Which OOPs concept is demonstrated when a single method like click_element() works differently based on the element type passed?","Inheritance","Encapsulation","Polymorphism","Abstraction","C","Polymorphism allows a method to behave differently based on the object or parameters it receives. A click method might handle buttons, links, or checkboxes differently.",""
"11","Fluke Interview","OOPs Concepts","Medium","mcq","How is abstraction applied in Selenium frameworks?","By hiding complex Selenium operations behind simple method names in a base class","By writing longer variable names","By avoiding the use of classes","By hardcoding all values","A","Abstraction hides complexity. For example, a method called login(username, password) abstracts away the multiple find_element and click operations happening internally.",""
"12","Fluke Interview","XPath","Medium","mcq","Why is Relative XPath preferred over Absolute XPath in Selenium?","Relative XPath is longer and more descriptive","Relative XPath is less brittle because it does not depend on the full DOM hierarchy","Absolute XPath is not supported by Selenium","Relative XPath only works in Chrome","B","Absolute XPath starts from the root (html/) and breaks if any parent element changes. Relative XPath uses // to find elements independent of full hierarchy, making it more resilient to UI changes.",""
"13","Fluke Interview","XPath","Easy","mcq","What does the XPath expression //input[@id='username'] do?","Selects all div elements","Selects the input element with id attribute equal to 'username' anywhere in the DOM","Selects only the first element on the page","Throws an error because // is invalid","B","The // means search anywhere in the DOM, input is the tag name, and [@id='username'] filters by the id attribute value.",""
"14","Fluke Interview","List Programs","Medium","output","What is the output of the following Python code that reverses a list without using inbuilt functions?","[5, 4, 3, 2, 1]","[1, 2, 3, 4, 5]","Error","[1, 5, 2, 4, 3]","A","The while loop swaps elements from both ends moving inward, effectively reversing the list in-place.","lst = [1, 2, 3, 4, 5]\ni, j = 0, len(lst) - 1\nwhile i < j:\n    lst[i], lst[j] = lst[j], lst[i]\n    i += 1\n    j -= 1\nprint(lst)"
"15","Fluke Interview","List Programs","Medium","output","What is the output of the following sorting code without inbuilt functions?","[1, 2, 5, 8, 9]","[9, 8, 5, 2, 1]","[5, 2, 8, 1, 9]","Error","A","This is a bubble sort implementation. It repeatedly compares adjacent elements and swaps them if they are in the wrong order, resulting in ascending order.","lst = [5, 2, 8, 1, 9]\nfor i in range(len(lst)):\n    for j in range(len(lst) - 1 - i):\n        if lst[j] > lst[j+1]:\n            lst[j], lst[j+1] = lst[j+1], lst[j]\nprint(lst)"
"16","Fluke Interview","Pytest","Medium","mcq","What is the purpose of conftest.py in Pytest?","It is the main test runner file","It provides shared fixtures and hooks accessible to all tests in its directory and subdirectories without needing import","It stores test results","It is used to configure the database","B","conftest.py is a special Pytest file that holds fixtures, hooks, and plugins. Fixtures defined there are automatically available to all tests in the same directory and below.",""
"17","Fluke Interview","Pytest","Medium","mcq","What does the @pytest.mark.parametrize decorator do?","It skips the test","It runs the same test function with multiple sets of input data","It marks a test as expected to fail","It sets the test execution order","B","@pytest.mark.parametrize allows running the same test with different arguments, enabling data-driven testing without duplicating test functions.",""
"18","Fluke Interview","Pytest","Easy","mcq","What is a Pytest fixture?","A static HTML page","A function decorated with @pytest.fixture that provides setup/teardown logic and reusable test data","A type of assertion","A logging mechanism","B","Fixtures in Pytest are functions that set up preconditions (like browser init, DB connections) and can also handle teardown using yield.",""
"19","Fluke Interview","Pytest","Medium","mcq","Which Pytest marker is used to skip a test conditionally?","@pytest.mark.parametrize","@pytest.mark.skipif","@pytest.mark.xfail","@pytest.mark.smoke","B","@pytest.mark.skipif(condition, reason='...') skips a test when the specified condition is True, such as skipping on a specific OS or Python version.",""
