"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","EY Interview","Agile Methodology","Easy","mcq","Which of the following is NOT a standard Agile ceremony?","Sprint Planning","Daily Standup","Code Deployment Meeting","Sprint Retrospective","C","The standard Agile ceremonies are Sprint Planning, Daily Standup, Sprint Review, and Sprint Retrospective. Code Deployment Meeting is not one of them.",""
"2","EY Interview","Agile Methodology","Easy","mcq","What is the typical duration of a Daily Standup meeting in Agile?","15 minutes","1 hour","30 minutes","2 hours","A","The Daily Standup (or Daily Scrum) is a time-boxed event lasting no more than 15 minutes to keep communication focused and efficient.",""
"3","EY Interview","Agile Methodology","Medium","mcq","Who is responsible for prioritizing the Product Backlog in Scrum?","Scrum Master","Development Team","Product Owner","QA Lead","C","The Product Owner is solely responsible for managing and prioritizing the Product Backlog to maximize the value delivered by the team.",""
"4","EY Interview","Agile Methodology","Medium","scenario","During a sprint, a critical production bug is reported. What should the QA team do?","Ignore it until next sprint","Add it to the current sprint backlog after discussion with the Product Owner","Fix it without informing anyone","Wait for the sprint to end and then report it","B","Critical bugs should be discussed with the Product Owner who can decide to add it to the current sprint if it is high priority, following proper Agile processes.",""
"5","EY Interview","End-to-End Testing","Easy","mcq","What is the primary goal of end-to-end testing?","Testing individual units of code","Validating the complete application flow from start to finish","Testing only the UI layer","Performance benchmarking","B","End-to-end testing validates the entire application workflow including all integrated components, ensuring the system works as expected from the user perspective.",""
"6","EY Interview","End-to-End Testing","Medium","mcq","When should end-to-end tests be executed in the CI/CD pipeline?","Before unit tests","Only in production","After unit tests and integration tests have passed","Only during manual testing phases","C","End-to-end tests are typically the last layer of automated testing and should run after faster unit and integration tests pass, following the testing pyramid.",""
"7","EY Interview","End-to-End Testing","Hard","scenario","You are asked to design an end-to-end test strategy for a banking application with login, fund transfer, and statement download. Which approach is best?","Test each module in isolation only","Create test flows that cover login -> fund transfer -> verify balance -> download statement as a single user journey","Only test the API layer","Write unit tests for each page","B","End-to-end testing should simulate real user journeys that span multiple modules, validating the complete workflow from login through transaction completion.",""
"8","EY Interview","Git and GitHub","Easy","mcq","Which Git command is used to create a new branch and switch to it?","git branch new-branch","git checkout -b new-branch","git merge new-branch","git pull new-branch","B","The command 'git checkout -b new-branch' creates a new branch and immediately switches to it in a single step.",""
"9","EY Interview","Git and GitHub","Easy","mcq","What does 'git pull' do?","Pushes local changes to remote","Fetches and merges changes from the remote repository","Deletes a remote branch","Creates a new repository","B","'git pull' is a combination of 'git fetch' followed by 'git merge'. It downloads changes from the remote repository and merges them into the current branch.",""
"10","EY Interview","Git and GitHub","Medium","mcq","In a team using Git Flow, which branch is used for preparing a new production release?","feature branch","hotfix branch","release branch","develop branch","C","In Git Flow, a release branch is created from the develop branch to prepare for a new production release, allowing final bug fixes and metadata preparation.",""
