"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Nykaa Interview","Framework Explanation","Medium","scenario","You are asked to explain the automation framework you built for an e-commerce site like Nykaa. Which design pattern is most commonly used in Selenium page-based frameworks?","Singleton Pattern","Page Object Model (POM)","Factory Pattern","Observer Pattern","B","Page Object Model (POM) is the industry-standard design pattern for Selenium frameworks. It creates a class for each page, encapsulating locators and actions, improving maintainability and reusability in e-commerce test suites.",""
"2","Nykaa Interview","Framework Explanation","Medium","mcq","In a POM-based framework for Nykaa, where should you store element locators for the product listing page?","Inside the test methods directly","In a separate ProductListingPage class","In a global constants file only","In the conftest.py file","B","POM dictates that each page has its own class containing locators and page-specific methods. This keeps the code organized and makes maintenance easier when UI changes.",""
"3","Nykaa Interview","Framework Explanation","Hard","scenario","Your Nykaa e-commerce framework uses POM with a BasePage class. Which combination of components would form a robust hybrid framework?","POM + Keyword Driven + Data Driven","Only POM","Only Data Driven","Only Keyword Driven","A","A hybrid framework combining POM for structure, keyword-driven for reusability, and data-driven for parameterized tests provides the most comprehensive coverage for e-commerce applications.",""
"4","Nykaa Interview","String Manipulation","Medium","output","What is the output of the following Python code that reverses words in a string?","ykaaN si tseb","best is Nykaa","Nykaa is best","Error","A","The code splits the string into words, reverses each word individually using slicing [::-1], then joins them back. Each word is reversed in place while maintaining word order.","s = ""Nykaa is best""\nresult = ' '.join(word[::-1] for word in s.split())\nprint(result)"
"5","Nykaa Interview","String Manipulation","Medium","output","What does this code print?","dcba@#fe","abcd@#ef","ef#@dcba","fe@#dcba","A","The function reverses only the alphabetic characters while keeping special characters (@, #) in their original positions. It uses two pointers to swap only alpha chars.","def reverse_without_special(s):\n    chars = list(s)\n    l, r = 0, len(chars) - 1\n    while l < r:\n        if not chars[l].isalpha():\n            l += 1\n        elif not chars[r].isalpha():\n            r -= 1\n        else:\n            chars[l], chars[r] = chars[r], chars[l]\n            l += 1\n            r -= 1\n    return ''.join(chars)\n\nprint(reverse_without_special(""abcd@#ef""))"
"6","Nykaa Interview","API Status Codes","Easy","mcq","Which HTTP status code indicates that the Nykaa API server is temporarily unavailable due to maintenance or overload?","404","500","503","401","C","503 Service Unavailable means the server is temporarily unable to handle the request, usually due to maintenance or overload. This is common during high-traffic sales events on e-commerce platforms.",""
"7","Nykaa Interview","API Status Codes","Easy","mcq","When you successfully add a product to the cart via Nykaa's API, which status code is most appropriate for the response?","200 OK","201 Created","204 No Content","202 Accepted","B","201 Created is the correct status code when a new resource (cart item) has been successfully created on the server.",""
"8","Nykaa Interview","API Status Codes","Medium","mcq","A QA engineer gets a 429 status code while testing Nykaa's search API. What does this indicate?","Server error","Resource not found","Too many requests (rate limiting)","Unauthorized access","C","HTTP 429 Too Many Requests indicates the user has sent too many requests in a given amount of time. E-commerce APIs implement rate limiting to prevent abuse.",""
"9","Nykaa Interview","HTTP Methods","Medium","mcq","Which HTTP method should be used to partially update a user's shipping address on Nykaa?","GET","POST","PUT","PATCH","D","PATCH is used for partial updates. PUT replaces the entire resource, while PATCH modifies only the specified fields. For updating just the pin code in an address, PATCH is appropriate.",""
"10","Nykaa Interview","HTTP Methods","Medium","mcq","What is the key difference between PUT and POST when updating a product in the Nykaa catalog?","PUT is idempotent and replaces the entire resource; POST creates a new resource","PUT creates resources; POST updates them","They are identical in behavior","PUT is faster than POST","A","PUT is idempotent, meaning multiple identical requests produce the same result. It replaces the entire resource. POST is used to create new resources and is not idempotent.",""
"11","Nykaa Interview","PUT vs POST vs PATCH","Hard","mcq","An API endpoint /api/products/123 receives three different requests. Which statement is correct about PUT, POST, and PATCH?","PUT replaces entire product, PATCH updates specific fields, POST should not be used on existing resource URIs","All three can create new resources at the same URI","PATCH replaces entire product, PUT updates specific fields","POST is idempotent while PUT is not","A","PUT replaces the full resource representation, PATCH applies partial modifications, and POST to an existing resource URI is unconventional since POST is typically used on collection endpoints to create new resources.",""
"12","Nykaa Interview","Pytest and Fixtures","Medium","mcq","In a Nykaa test suite, which pytest fixture scope ensures the browser opens once for the entire test session?","scope=""function""","scope=""class""","scope=""module""","scope=""session""","D","scope=""session"" makes the fixture execute only once for the entire test session. This is efficient for browser setup when tests can share the same browser instance.",""
"13","Nykaa Interview","Pytest and Fixtures","Medium","output","What is the output of this pytest fixture code when two tests use it?","Setup called twice, both tests see value 42","Setup called once, both tests see value 42","Error: fixture cannot return values","Setup called once, second test sees None","A","With default function scope, the fixture runs before each test function. So setup_data is called twice, once for each test.","import pytest\n\n@pytest.fixture\ndef setup_data():\n    print(""Setup called"")\n    return 42\n\ndef test_one(setup_data):\n    assert setup_data == 42\n\ndef test_two(setup_data):\n    assert setup_data == 42"
"14","Nykaa Interview","Pytest and Fixtures","Hard","mcq","How do you parameterize a pytest fixture to test Nykaa's search with multiple product categories?","@pytest.fixture(params=[""lipstick"", ""foundation"", ""serum""])","@pytest.fixture.parametrize([""lipstick"", ""foundation"", ""serum""])","@pytest.param(fixture=[""lipstick"", ""foundation"", ""serum""])","@pytest.fixture(data=[""lipstick"", ""foundation"", ""serum""])","A","pytest fixtures support parameterization via the params argument. Each param value triggers a separate test run with that fixture value available via request.param.",""
"15","Nykaa Interview","E-commerce Scenarios","Medium","scenario","A user adds a product to their Nykaa cart, but the cart count does not update on the UI. What is the most systematic debugging approach?","Only check the database","Check API response in Network tab, verify cart API returns updated count, check if frontend state management updates correctly, inspect DOM for stale elements","Restart the server","Clear browser cache only","B","A systematic approach involves checking the full stack: verify the API response contains the correct cart count, check if the frontend state (Redux/context) receives and processes the update, and inspect the DOM to see if re-rendering occurs.",""
"16","Nykaa Interview","E-commerce Scenarios","Medium","scenario","During Nykaa's sale event, the 'Add to Bag' button is clickable but nothing happens. Which Selenium approach would help debug this?","Use driver.find_element only","Use WebDriverWait with expected_conditions, check for overlapping elements using JavaScript, verify network requests using browser logs","Use time.sleep(10) before clicking","Increase implicit wait to 60 seconds","B","Using explicit waits ensures the element is interactable. JavaScript execution can check for overlay elements blocking clicks. Enabling browser logs captures network failures that may explain why the action does not complete.",""
"17","Nykaa Interview","Debugging Tools","Medium","mcq","In Chrome DevTools Network tab, which filter would you use to find the API call made when searching for a product on Nykaa?","Doc","XHR/Fetch","JS","CSS","B","XHR/Fetch filter in the Network tab shows AJAX requests and fetch API calls. Product search APIs are typically called via XHR or fetch, making this filter the right choice to isolate API traffic.",""
"18","Nykaa Interview","Debugging Tools","Hard","scenario","You see a spike in API response times in New Relic for Nykaa's product detail page. What should you investigate first?","Ignore it and wait","Check the specific transaction traces, database query performance, external service call latencies, and server resource utilization in New Relic APM","Restart all servers immediately","Only check frontend load times","B","New Relic APM provides transaction traces that break down time spent in each component. Checking database queries for slow queries, external service calls, and server CPU/memory helps identify the root cause of the spike.",""
"19","Nykaa Interview","New Relic","Medium","mcq","Which New Relic feature helps identify the slowest database queries affecting Nykaa's checkout flow?","Browser monitoring","Database query analysis in APM","Synthetics","Infrastructure alerts only","B","New Relic APM's database query analysis shows the slowest SQL queries, their frequency, and throughput. This helps identify bottleneck queries in critical flows like checkout.",""
"20","Nykaa Interview","Feature Debugging","Hard","scenario","A specific user reports that product images are not loading on Nykaa, but other users see them fine. What is your debugging approach?","Tell the user to buy a new device","Check user's browser/device/OS, CDN caching behavior, user-specific cookies or local storage, ad-blocker or network proxy interference, and test with the same user session token","Redeploy the entire application","Only test on Chrome desktop","B","User-specific issues often stem from browser compatibility, cached resources, ad-blockers, corporate proxies, or corrupted local storage. Testing with the same session/token and replicating the user's environment is essential.",""
"21","Nykaa Interview","Mocking in Testing","Medium","mcq","When testing Nykaa's product listing UI, how would you mock the backend API response in a frontend test?","You cannot mock API responses","Use libraries like unittest.mock or responses to intercept HTTP calls and return predefined JSON","Modify the production database directly","Disable the API server","B","Libraries like unittest.mock (for Python) or responses/requests-mock allow intercepting HTTP calls and returning controlled responses. This isolates frontend testing from backend dependencies.",""
