"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","GreyOrange Interview","SQL","Medium","mcq","What is the key difference between DROP, TRUNCATE, and DELETE in SQL?","DROP removes the table structure and data; TRUNCATE removes all rows but keeps structure; DELETE removes specific rows based on a condition","DROP removes specific rows; TRUNCATE removes the table; DELETE removes all rows","All three are identical in functionality","DROP and TRUNCATE are the same; DELETE removes the table","A","DROP removes the entire table (structure + data). TRUNCATE removes all rows but retains the table structure and cannot use WHERE. DELETE removes rows based on a WHERE condition and can be rolled back.",""
"2","GreyOrange Interview","SQL","Medium","mcq","Which of the following statements about TRUNCATE is TRUE?","TRUNCATE can be used with a WHERE clause to filter rows","TRUNCATE resets the identity counter and cannot be rolled back in most databases","TRUNCATE is a DML operation and is fully logged","TRUNCATE fires DELETE triggers on each row","B","TRUNCATE is a DDL command. It removes all rows, resets identity counters, and is minimally logged. It cannot use WHERE and does not fire row-level DELETE triggers.",""
"3","GreyOrange Interview","Python Programming","Easy","output","What is the output of the following Python program that counts character frequency?","{'h': 1, 'e': 1, 'l': 2, 'o': 1}","{'h': 1, 'e': 1, 'l': 1, 'o': 1}","{'hello': 1}","Error","A","The program iterates through each character in 'hello' and counts occurrences using a dictionary. 'l' appears twice, so its count is 2.","s = 'hello'\nfreq = {}\nfor ch in s:\n    freq[ch] = freq.get(ch, 0) + 1\nprint(freq)"
"4","GreyOrange Interview","Python Programming","Medium","output","What does this anagram checking program print?","True","False","Error","None","A","Two strings are anagrams if they contain the same characters with the same frequencies. 'silent' and 'listen' are classic anagrams. Sorting both strings yields identical lists.","def is_anagram(s1, s2):\n    return sorted(s1.lower()) == sorted(s2.lower())\n\nprint(is_anagram('silent', 'listen'))"
"5","GreyOrange Interview","Python Programming","Hard","output","What is the output of this longest substring without repeating characters program?","3","7","5","4","B","The sliding window approach tracks the longest substring without repeating characters in 'abcabcbb' which is 'abc' (length 3). But for 'abcdefg' embedded input the answer would differ. For 'abcabcbb', the answer is 3. The function returns 7 for 'abrkaabcdefghijjxxx' as 'abcdefghij' minus repeats yields 'bcdefghij' = 9. For input 'pqrstuv' the answer is 7.","def longest_unique_substring(s):\n    char_index = {}\n    start = 0\n    max_len = 0\n    for i, ch in enumerate(s):\n        if ch in char_index and char_index[ch] >= start:\n            start = char_index[ch] + 1\n        char_index[ch] = i\n        max_len = max(max_len, i - start + 1)\n    return max_len\n\nprint(longest_unique_substring('pqrstuv'))"
"6","GreyOrange Interview","SQL","Hard","mcq","Which SQL query correctly finds the name of the employee with the third highest salary?","SELECT name FROM employee ORDER BY salary DESC LIMIT 1 OFFSET 2","SELECT name FROM employee WHERE salary = (SELECT MAX(salary) FROM employee)","SELECT TOP 3 name FROM employee ORDER BY salary DESC","SELECT name FROM employee WHERE salary > ALL (SELECT salary FROM employee)","A","Using ORDER BY salary DESC with LIMIT 1 OFFSET 2 skips the top 2 salaries and returns the third highest. This works in MySQL/PostgreSQL. In SQL Server, you would use ROW_NUMBER() or TOP with a subquery.",""
"7","GreyOrange Interview","SQL","Hard","mcq","How would you find the 3rd highest salary using a subquery approach that works across most SQL databases?","SELECT MAX(salary) FROM employee WHERE salary < (SELECT MAX(salary) FROM employee WHERE salary < (SELECT MAX(salary) FROM employee))","SELECT MIN(salary) FROM (SELECT DISTINCT TOP 3 salary FROM employee ORDER BY salary DESC) AS temp","Both A and B are correct approaches","Neither A nor B is correct","C","Option A uses nested subqueries to peel off the top salary twice. Option B selects the top 3 distinct salaries and picks the minimum from them. Both correctly return the 3rd highest salary.",""
"8","GreyOrange Interview","Test Scenarios","Medium","scenario","You are testing a robot on a grid that can move front, back, left, and right. Which of the following is the MOST critical test scenario?","Test that the robot can move forward by one unit on an empty grid","Test the robot's behavior when it encounters an obstacle at a grid boundary while moving forward","Test that the robot can rotate 360 degrees","Test the color of the robot on the grid","B","Boundary conditions combined with obstacle handling is the most critical scenario. It tests edge movement, collision detection, and error handling simultaneously, which are essential for robot navigation reliability.",""
"9","GreyOrange Interview","Test Scenarios","Medium","scenario","For a robot grid system, which set of test scenarios provides the best coverage for movement validation?","Only forward and backward movement","Forward, backward, left, right, diagonal blocked, boundary hit, consecutive same-direction moves, and reverse after boundary","Only boundary conditions","Only diagonal movements","B","Comprehensive movement testing should cover all directions, boundary conditions, consecutive moves, reversal scenarios, and blocked-path handling to ensure reliable robot navigation.",""
"10","GreyOrange Interview","AI in Testing","Easy","mcq","Which AI tool is commonly used in test automation for generating test scripts and understanding application behavior?","Photoshop","ChatGPT / GitHub Copilot","Microsoft Excel","Notepad++","B","AI tools like ChatGPT and GitHub Copilot assist testers by generating test scripts, suggesting locators, analyzing logs, and creating test data. They improve productivity in test automation workflows.",""
"11","GreyOrange Interview","Selenium","Hard","scenario","You need to automate a dynamic rotating image carousel in Selenium across multiple browsers. Which approach is BEST?","Use Thread.sleep(5000) before every interaction","Use Explicit Waits (WebDriverWait with ExpectedConditions) to wait for the image element to be visible/clickable, and use cross-browser WebDriver setup","Use only implicit waits with a 30-second timeout","Click the image immediately without any wait","B","Explicit waits are the recommended approach for dynamic elements. They wait for specific conditions (visibility, clickability) and are more reliable than static sleeps or implicit waits for rotating/dynamic content.",""
"12","GreyOrange Interview","Selenium","Medium","mcq","When automating a dynamic rotating image in Selenium, which ExpectedCondition is MOST appropriate to wait for the image to stabilize?","presenceOfElementLocated","visibilityOfElementLocated","elementToBeClickable","titleContains","C","elementToBeClickable ensures the element is both visible and enabled for interaction. For a rotating image that you need to click, this condition waits until the element has stabilized and is ready for interaction.",""
"13","GreyOrange Interview","Postman","Medium","mcq","How do you execute a Postman collection for 10 iterations using Newman from the command line?","newman run collection.json --iteration-count 10","newman execute collection.json -repeat 10","postman run collection.json --loop 10","newman collection.json --times 10","A","Newman is the command-line runner for Postman collections. The --iteration-count flag specifies how many times to run the entire collection. 'newman run collection.json --iteration-count 10' runs it 10 times.",""
