"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Arcessium Interview","Anagram Grouping","Medium","output","What is the output of the following Python code that groups anagrams from the given list?","[['eat', 'tea', 'ate'], ['tan', 'nat'], ['bat']]","[['eat', 'tea'], ['tan', 'nat'], ['bat', 'ate']]","[['bat'], ['eat', 'tea', 'ate', 'tan', 'nat']]","[['ate', 'eat', 'tea'], ['nat', 'tan'], ['bat']]","A","The code sorts the characters of each word and uses the sorted version as a dictionary key. Words with the same sorted characters are anagrams and get grouped together. 'eat', 'tea', 'ate' all sort to 'aet'; 'tan', 'nat' sort to 'ant'; 'bat' sorts to 'abt'.","from collections import defaultdict\n\ndef group_anagrams(strs):\n    groups = defaultdict(list)\n    for s in strs:\n        key = ''.join(sorted(s))\n        groups[key].append(s)\n    return list(groups.values())\n\nprint(group_anagrams([""eat"",""tea"",""tan"",""ate"",""nat"",""bat""]))"
"2","Arcessium Interview","Two-Sum Problem","Medium","output","What does the following two_sum function return when called with nums = [2, 7, 15, 11] and target = 9?","[0, 1]","[1, 0]","[0, 2]","None","A","The function iterates through the list and for each number checks if (target - num) exists in a dictionary of previously seen values. At index 0, num=2, complement=7 is not in the dict, so we store {2:0}. At index 1, num=7, complement=2 IS in the dict at index 0, so we return [0, 1].","def two_sum(nums, target):\n    seen = {}\n    for i, num in enumerate(nums):\n        complement = target - num\n        if complement in seen:\n            return [seen[complement], i]\n        seen[num] = i\n    return None\n\nprint(two_sum([2, 7, 15, 11], 9))"
"3","Arcessium Interview","Remove Duplicates from List","Easy","output","What is the output of the following code that removes duplicates from a list without using set()?","[1, 2, 3, 4]","[1, 2, 2, 3, 3, 4]","[4, 3, 2, 1]","[1, 2, 3, 4, 2, 3]","A","The function iterates through the original list and appends each element to the result list only if it is not already present. This preserves the original order while removing duplicate entries.","def remove_duplicates(lst):\n    result = []\n    for item in lst:\n        if item not in result:\n            result.append(item)\n    return result\n\nprint(remove_duplicates([1, 2, 2, 3, 3, 4]))"
"4","Arcessium Interview","Self Introduction Approach","Easy","scenario","During an Arcessium interview for a QA Automation role, what is the best approach for a self-introduction?","Start with your name, total experience, relevant QA/automation skills, tools you have worked with (Selenium, Python, pytest), types of testing performed, and a brief mention of your current project and role.","Recite your entire resume from education to every job you have held in chronological order.","Only talk about your personal hobbies and interests to build rapport.","Skip the introduction and ask the interviewer to look at your resume instead.","A","A strong self-introduction for an automation QA role should be concise (1-2 minutes), highlight your name, experience, key technical skills (Selenium, Python, API testing), frameworks used, and your current project context. This shows relevance and professionalism.",""
"5","Arcessium Interview","Automation Project Explanation","Easy","scenario","When asked to explain your automation project and tech stack at Arcessium, which response best demonstrates competence?","Mention the project name, describe the application under test, list frameworks (e.g., Selenium WebDriver with Python, pytest, Page Object Model), CI/CD integration (Jenkins/GitHub Actions), reporting tools (Allure/HTML reports), and how tests are organized and maintained.","Simply say you use Selenium and Python without any further detail.","Describe only the manual testing you have done on the project.","Explain the entire codebase line by line including unrelated modules.","A","Interviewers want to understand your hands-on experience. A good answer covers the application domain, your test framework architecture (POM, data-driven), tools (Selenium, pytest, requests), CI/CD pipeline, and reporting. This shows end-to-end understanding of automation engineering.",""
"6","Arcessium Interview","HTTP Status Code 401 vs 403","Medium","mcq","What is the key difference between HTTP status codes 401 (Unauthorized) and 403 (Forbidden)?","401 means the client has not provided valid authentication credentials; 403 means the client is authenticated but does not have permission to access the resource.","401 means the server is down; 403 means the resource does not exist.","401 and 403 are identical and can be used interchangeably.","401 means forbidden access; 403 means the client needs to authenticate.","A","401 Unauthorized indicates that the request lacks valid authentication credentials (e.g., missing or expired token). 403 Forbidden indicates the server understood the request and the client is authenticated, but the client does not have the necessary permissions to access that specific resource.",""
"7","Arcessium Interview","Why 500 Status Code Occurs","Medium","mcq","Which of the following is the most accurate description of why a 500 Internal Server Error occurs?","The server encountered an unexpected condition that prevented it from fulfilling the request, such as unhandled exceptions, misconfigured server, database connection failures, or null pointer errors in backend code.","The client sent a malformed request that the server could not parse.","The requested resource was permanently moved to a new URL.","The client is not authorized to access the resource.","A","HTTP 500 is a generic server-side error. Common causes include unhandled exceptions in application code, database connectivity issues, null reference errors, misconfigured server settings, or resource exhaustion. It means the fault lies on the server, not the client.",""
"8","Arcessium Interview","Why 401 Status Code Occurs","Medium","mcq","Which scenario would most likely result in an HTTP 401 Unauthorized response?","Sending an API request without an authentication token, or with an expired or invalid token.","Sending a request to a URL that does not exist on the server.","Sending a request with a valid token but to a resource the user has no access to.","Sending a GET request instead of a POST request.","A","A 401 response occurs when the server cannot verify the identity of the client. This typically happens when no credentials are provided, the authentication token has expired, the API key is invalid, or the Authorization header is missing or malformed.",""
"9","Arcessium Interview","Why 403 Status Code Occurs","Medium","mcq","Which scenario would most likely result in an HTTP 403 Forbidden response?","A logged-in user with a valid token tries to access an admin-only endpoint that their role does not permit.","A user sends a request without any authentication header.","The server has crashed due to an unhandled exception.","The requested URL has a typo and the resource does not exist.","A","403 Forbidden means the server understood the request and verified the client's identity, but the client's permissions are insufficient. For example, a regular user trying to access an admin panel, or an API key that lacks the required scope for a particular endpoint.",""
"10","Arcessium Interview","Common HTTP Status Codes Overview","Easy","mcq","Which of the following correctly matches ALL the listed HTTP status codes to their meanings?","200=OK, 201=Created, 204=No Content, 301=Moved Permanently, 400=Bad Request, 401=Unauthorized, 403=Forbidden, 404=Not Found, 500=Internal Server Error, 502=Bad Gateway, 503=Service Unavailable","200=OK, 201=Accepted, 204=No Content, 301=Temporary Redirect, 400=Bad Request, 401=Forbidden, 403=Unauthorized, 404=Not Found, 500=Bad Gateway, 502=Internal Server Error, 503=Service Unavailable","200=OK, 201=Created, 204=Reset Content, 301=Moved Permanently, 400=Unauthorized, 401=Bad Request, 403=Forbidden, 404=Gone, 500=Internal Server Error, 502=Bad Gateway, 503=Service Unavailable","200=OK, 201=Created, 204=No Content, 301=Found, 400=Bad Request, 401=Unauthorized, 403=Forbidden, 404=Not Found, 500=Internal Server Error, 502=Service Unavailable, 503=Bad Gateway","A","Option A correctly maps all codes: 200 OK (success), 201 Created (resource created), 204 No Content (success with no body), 301 Moved Permanently (redirect), 400 Bad Request (client error), 401 Unauthorized (authentication required), 403 Forbidden (insufficient permissions), 404 Not Found, 500 Internal Server Error, 502 Bad Gateway (invalid upstream response), 503 Service Unavailable (server overloaded or in maintenance).",""
"11","Arcessium Interview","Python Output Prediction","Easy","output","What is the output of the following Python code?","[1, 4, 9, 16, 25]","[1, 2, 3, 4, 5]","[2, 4, 6, 8, 10]","Error","A","List comprehension iterates over each element in the list and computes its square. 1*1=1, 2*2=4, 3*3=9, 4*4=16, 5*5=25.","nums = [1, 2, 3, 4, 5]\nresult = [x**2 for x in nums]\nprint(result)"
"12","Arcessium Interview","Python Output Prediction","Medium","output","What is the output of the following Python code?","{1: 'a', 2: 'c', 3: 'b'}","{1: 'a', 2: 'b', 3: 'b'}","{1: 'a', 2: 'b'}","Error","A","When a dictionary has duplicate keys, the last assignment wins. Key 2 is first assigned 'b', then overwritten with 'c'. The final dictionary is {1: 'a', 2: 'c', 3: 'b'}.","d = {1: 'a', 2: 'b', 3: 'b', 2: 'c'}\nprint(d)"
"13","Arcessium Interview","Dictionary/HashMap Problem Solving","Medium","output","What is the output of the following Python code that counts character frequencies?","{'h': 1, 'e': 1, 'l': 2, 'o': 1}","{'h': 1, 'e': 1, 'l': 1, 'o': 1}","{'hello': 1}","Error","A","The code iterates through each character in 'hello' and uses dict.get() with a default of 0 to count occurrences. 'l' appears twice, all other characters appear once.","def char_count(s):\n    freq = {}\n    for ch in s:\n        freq[ch] = freq.get(ch, 0) + 1\n    return freq\n\nprint(char_count(""hello""))"
"14","Arcessium Interview","List Manipulation Without Built-ins","Medium","output","What is the output of the following code that reverses a list without using built-in reverse() or slicing?","[5, 4, 3, 2, 1]","[1, 2, 3, 4, 5]","[1, 5, 2, 4, 3]","Error","A","The function uses two pointers (left and right) starting from opposite ends of the list and swaps elements moving inward until they meet. This reverses the list in-place.","def reverse_list(lst):\n    left, right = 0, len(lst) - 1\n    while left < right:\n        lst[left], lst[right] = lst[right], lst[left]\n        left += 1\n        right -= 1\n    return lst\n\nprint(reverse_list([1, 2, 3, 4, 5]))"
"15","Arcessium Interview","Testing Approach for API Endpoints","Medium","scenario","When asked at Arcessium how you would test a REST API endpoint, which approach is most comprehensive?","Validate status codes, response body schema, headers, positive and negative test cases, boundary values, authentication/authorization, error handling, response time, and data integrity across CRUD operations.","Only check if the endpoint returns a 200 status code.","Manually test the endpoint in a browser and visually inspect the JSON response.","Write a single test that sends a GET request and asserts the response is not empty.","A","Comprehensive API testing includes verifying correct status codes for all scenarios, validating response body structure and data types, testing with valid and invalid inputs, checking authentication and authorization, verifying error messages, and measuring performance. This is what Arcessium expects from a QA automation engineer.",""
"16","Arcessium Interview","Automation Framework Components","Medium","scenario","Which of the following best describes the essential components of a well-structured Selenium automation framework?","Page Object Model (POM) for element locators, a test runner (pytest/unittest), configuration management, test data handling, reporting (Allure/HTML), logging, utility/helper functions, and CI/CD integration.","A single Python file containing all test cases and locators together.","Only a collection of recorded Selenium IDE scripts exported to Python.","A framework that only uses time.sleep() for synchronization and hardcoded test data.","A","A robust automation framework separates concerns: POM keeps locators and page actions isolated, a test runner manages execution, config files handle environment settings, data-driven approaches externalize test data, and reporting plus CI/CD integration enable continuous testing. This is the standard Arcessium expects.",""
