"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Wakefit Interview","Role of QA in Agile","Easy","mcq","What is the primary role of a QA engineer in an Agile sprint?","Write code for developers","Validate requirements, create test cases, and ensure quality throughout the sprint","Only perform testing after development is complete","Manage the sprint backlog","B","In Agile, QA is involved throughout the sprint -- from requirement refinement to test execution -- ensuring quality at every stage, not just at the end.",""
"2","Wakefit Interview","Role of QA in Agile","Medium","mcq","During which Agile ceremony does a QA engineer typically clarify acceptance criteria?","Daily standup","Sprint retrospective","Sprint planning / backlog refinement","Sprint review","C","QA engineers actively participate in sprint planning and backlog refinement to clarify acceptance criteria and identify testability concerns early.",""
"3","Wakefit Interview","Writing XPath","Easy","mcq","Which XPath expression selects all <input> elements with type=""text""?","//input[@type='text']","//input[type='text']","//input{@type='text'}","//input.type='text'","A","The correct XPath attribute selector syntax uses square brackets with @ to reference an attribute: //input[@type='text'].",""
"4","Wakefit Interview","Writing XPath","Medium","mcq","What does the XPath expression //div[contains(@class,'product')]//span[@data-price] select?","All span elements inside any div","Only the first span with data-price","All span elements with a data-price attribute that are descendants of div elements whose class contains 'product'","All div elements with class product","C","The contains() function matches partial attribute values, and the double slash // selects descendants at any depth.",""
"5","Wakefit Interview","Writing XPath","Hard","mcq","Which XPath selects the immediately following sibling <div> of an element with id=""cart""?","//div[@id='cart']/following-sibling::div[1]","//div[@id='cart']/next::div","//div[@id='cart']/sibling::div[1]","//div[@id='cart']/after::div","A","The following-sibling axis selects siblings after the context node. [1] restricts it to the first such sibling.",""
"6","Wakefit Interview","Project Explanation","Easy","mcq","What is the recommended approach to explain your automation project in an interview?","List every tool and library you used","Explain the project domain, your role, framework architecture, tools used, CI/CD integration, and a sample test flow","Only talk about the number of test cases","Read from your resume","B","A structured project explanation covers domain context, your specific contributions, framework design, technology stack, and a concrete example of a test flow.",""
"7","Wakefit Interview","Libraries in Selenium Framework","Easy","mcq","Which Python library provides the WebDriver API for browser automation?","requests","selenium","pytest","beautifulsoup4","B","The selenium library provides the WebDriver API that allows Python scripts to control web browsers programmatically.",""
"8","Wakefit Interview","Libraries in Selenium Framework","Medium","mcq","What is the purpose of the allure-pytest library in a Selenium framework?","It speeds up test execution","It generates rich, interactive HTML test reports with steps, attachments, and history","It provides additional assertions","It manages browser drivers automatically","B","Allure-pytest integrates with pytest to produce detailed, visually rich test reports including test steps, screenshots, and historical trends.",""
"9","Wakefit Interview","Framework Overview","Medium","scenario","You are designing a Selenium automation framework for an e-commerce site. Which combination of layers is most appropriate?","Only a test runner and test scripts","Page Object layer, Test layer, Utilities layer, Config layer, and Reporting layer","A single script file with all logic","Database layer and API layer only","B","A well-structured framework separates concerns: Page Objects encapsulate UI interactions, the Test layer holds test logic, Utilities provide reusable helpers, Config manages environment settings, and Reporting handles results.",""
"10","Wakefit Interview","conftest.py","Easy","mcq","What is the purpose of conftest.py in a pytest project?","It is the main test file","It stores shared fixtures, hooks, and plugins that are automatically discovered by pytest","It configures the Python interpreter","It replaces pytest.ini","B","conftest.py is a special pytest file where you define fixtures, hooks, and plugins that are automatically available to tests in the same directory and subdirectories without needing imports.",""
