"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Sony Interview","Defect Life Cycle","Easy","mcq","What is the correct order of a defect life cycle?","New -> Open -> Fixed -> Closed","New -> Rejected -> Open -> Fixed","Open -> New -> Fixed -> Closed","New -> Open -> Reopen -> Fixed","A","The standard defect life cycle starts with New when a bug is logged, moves to Open when assigned, Fixed when resolved by the developer, and Closed after verification by QA.",""
"2","Sony Interview","Priority vs Severity","Medium","scenario","A cosmetic typo is found on the company's main landing page that is visited by millions of users daily. How would you classify this defect?","High Priority, Low Severity","Low Priority, High Severity","High Priority, High Severity","Low Priority, Low Severity","A","Although it is a cosmetic issue (low severity), the landing page is business-critical and seen by millions, making it high priority to fix quickly.",""
"3","Sony Interview","Priority vs Severity","Medium","scenario","A crash occurs in an admin-only feature used once a year for annual audits. How should this be classified?","High Priority, High Severity","Low Priority, High Severity","High Priority, Low Severity","Low Priority, Low Severity","B","A crash is high severity, but because the feature is rarely used and not immediately needed, it is low priority.",""
"4","Sony Interview","Test Case Design - BVA","Medium","mcq","For an input field accepting values 1 to 100, which set represents correct Boundary Value Analysis test values?","0, 1, 2, 99, 100, 101","1, 50, 100","0, 50, 101","-1, 0, 1, 100, 101, 102","A","BVA tests boundaries: just below the lower bound (0), the lower bound (1), just above it (2), just below the upper bound (99), the upper bound (100), and just above it (101).",""
"5","Sony Interview","Test Case Design - Equivalence Partitioning","Easy","mcq","In Equivalence Partitioning for a field accepting ages 18-60, which partitions are correct?","Invalid: <18, Valid: 18-60, Invalid: >60","Valid: 0-60, Invalid: >60","Invalid: <0, Valid: 0-100","Valid: 18-60 only","A","Equivalence Partitioning divides input into valid (18-60) and invalid (<18 and >60) classes, and one test case from each partition is sufficient.",""
"6","Sony Interview","Selenium - Popups and Alerts","Medium","mcq","Which Selenium method is used to accept a JavaScript alert?","driver.switch_to.alert.accept()","driver.alert.accept()","driver.find_element(""alert"").click()","driver.handle_alert(""accept"")","A","The correct way is driver.switch_to.alert.accept(). You must first switch to the alert context before performing any action on it.",""
"7","Sony Interview","Selenium - Popups and Alerts","Medium","mcq","How do you retrieve the text from a JavaScript confirmation dialog in Selenium?","driver.switch_to.alert.text","driver.get_alert_text()","driver.switch_to.alert.get_text()","driver.alert.message","A","After switching to the alert using driver.switch_to.alert, the .text property returns the message displayed in the alert.",""
"8","Sony Interview","Retesting vs Regression","Easy","mcq","What is the key difference between retesting and regression testing?","Retesting verifies the fixed defect; regression testing checks that the fix did not break other functionality","Both are the same","Retesting is done by developers; regression by testers","Regression testing is done before retesting","A","Retesting confirms the specific bug fix works, while regression testing ensures that the fix has not introduced new defects in other areas of the application.",""
"9","Sony Interview","Smoke vs Sanity Testing","Easy","mcq","When is sanity testing typically performed?","After receiving a build with minor changes to verify specific functionality","Before any testing begins on a new build","Only during the final release phase","During unit testing by developers","A","Sanity testing is a narrow, focused test performed after receiving a build with minor code changes to verify that the specific functionality works as expected.",""
"10","Sony Interview","Smoke vs Sanity Testing","Medium","scenario","You receive a new build where only the login module was changed. Which testing approach is most appropriate first?","Sanity testing on the login module","Full regression testing of the entire application","Smoke testing of all modules","Performance testing of the login module","A","Since only the login module changed, sanity testing focused on that module is the most efficient first step to verify the fix before broader regression testing.",""
"11","Sony Interview","Python OOP - Overriding vs Overloading","Medium","output","What will be the output of this code?","BMW is driving","Car is driving","Error","None","A","Python supports method overriding. The child class BMW overrides the drive() method of the parent class Car, so calling drive() on a BMW object executes the child's version.","class Car:\n    def drive(self):\n        return ""Car is driving""\n\nclass BMW(Car):\n    def drive(self):\n        return ""BMW is driving""\n\nb = BMW()\nprint(b.drive())"
"12","Sony Interview","Python OOP - Overriding vs Overloading","Medium","mcq","Does Python natively support method overloading like Java?","No, Python does not support traditional method overloading; the last defined method with the same name overwrites the previous one","Yes, Python supports it exactly like Java","Yes, but only for class methods","No, and there is no workaround at all","A","Python does not support traditional method overloading. If you define multiple methods with the same name, only the last one is retained. You can simulate it using default arguments or *args.",""
"13","Sony Interview","Frameworks","Medium","mcq","In a Hybrid test automation framework, what is the primary advantage?","It combines features of Data-Driven and Keyword-Driven frameworks for flexibility","It only uses hardcoded test data","It eliminates the need for any test scripts","It works only with Selenium","A","A Hybrid framework merges the strengths of Data-Driven (external data sources) and Keyword-Driven (action keywords) approaches, offering maximum flexibility and reusability.",""
"14","Sony Interview","Frameworks","Easy","mcq","Which framework reads test data from external files like CSV or Excel and feeds it into test scripts?","Data-Driven Framework","Keyword-Driven Framework","Linear Framework","Modular Framework","A","A Data-Driven Framework externalizes test data into files (CSV, Excel, JSON) so the same test script can run with multiple data sets without code changes.",""
