id,subject,topic,difficulty,type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,code_snippet
1,Python,Data Types,Easy,mcq,Which of the following is an immutable data type in Python?,tuple,list,dict,set,A,"Tuples are immutable sequences in Python. Once created, their elements cannot be changed, unlike lists, dicts, and sets.",
2,Python,Data Types,Easy,mcq,What is the result of type(3.14) in Python?,<class 'float'>,<class 'int'>,<class 'decimal'>,<class 'double'>,A,Python uses float for decimal numbers. There is no built-in double type; Decimal is in the decimal module.,
3,Python,Data Types,Easy,mcq,Which function converts a string '42' to an integer?,int(),str(),float(),chr(),A,"int('42') parses the string and returns the integer 42. str() converts to string, float() to float, chr() to character.",
4,Python,Data Types,Medium,mcq,What is the result of bool([]) in Python?,False,True,None,TypeError,A,Empty containers are falsy in Python. An empty list evaluates to False when converted to bool.,
5,Python,Data Types,Medium,mcq,Which data type would you use to store a binary flag that is either on or off?,bool,int,str,bytes,A,"bool is the natural choice for binary flags with values True/False. While int works, bool is semantically correct.",
6,Python,Data Types,Hard,mcq,"What is the output of isinstance(True, int) in Python?",True,False,TypeError,None,A,"In Python, bool is a subclass of int. True is 1 and False is 0, so isinstance(True, int) returns True.",
7,Python,Data Types,Easy,mcq,Which of the following creates a complex number in Python?,3 + 4j,3 + 4i,"complex(3, 4i)",3.4j,A,Python uses j (not i) for the imaginary part of complex numbers. 3 + 4j creates the complex number (3+4j).,
8,Python,Data Types,Medium,mcq,What does sys.getsizeof(0) return relative to sys.getsizeof(2**30)?,A smaller value,The same value,A larger value,It raises an error,A,"Python integers have variable size. Larger integers require more memory, so getsizeof(0) < getsizeof(2**30).",
9,Python,Strings,Easy,mcq,Which method converts all characters of a string to uppercase?,upper(),capitalize(),title(),swapcase(),A,str.upper() converts all characters to uppercase. capitalize() only capitalizes the first character.,
10,Python,Strings,Easy,mcq,"What does 'hello'.replace('l', 'r') return?",'herro','herlo','hello','rerro',A,replace() replaces ALL occurrences of the substring. Both 'l' characters are replaced with 'r'.,
11,Python,Strings,Medium,mcq,Which string method splits a string into a list based on a delimiter?,split(),partition(),slice(),divide(),A,str.split() splits a string by the given delimiter (whitespace by default) and returns a list of substrings.,
12,Python,Strings,Medium,mcq,What is the output of 'python'[::-1]?,'nohtyp','python','pytho',Error,A,The slice [::-1] reverses a string. Each character is taken in reverse order.,
13,Python,Strings,Hard,mcq,Which of the following is true about Python string interning?,Small strings and identifiers may be interned automatically,All strings are interned,Strings are never interned,Only empty strings are interned,A,CPython automatically interns small strings and strings that look like identifiers for performance optimization.,
14,Python,Strings,Easy,mcq,What does the strip() method do?,Removes leading and trailing whitespace,Removes all whitespace,Removes the first character,Removes the last character,A,strip() removes leading and trailing whitespace (or specified characters) from a string.,
15,Python,Strings,Medium,mcq,What is an f-string in Python?,A formatted string literal prefixed with f,A frozen string,A file string,A function string,A,"F-strings (f'...') allow embedding expressions inside string literals using curly braces, introduced in Python 3.6.",
16,Python,Strings,Hard,mcq,What does 'abc'.encode('utf-8') return?,b'abc','abc',"[97, 98, 99]","('a', 'b', 'c')",A,"encode() converts a string to bytes. For ASCII characters, the bytes literal looks like b'abc'.",
17,Python,Lists,Easy,mcq,Which method adds an element to the end of a list?,append(),add(),insert(),push(),A,"list.append(x) adds element x to the end of the list. insert() requires an index, and lists have no add() or push().",
18,Python,Lists,Easy,mcq,"What does len([1, 2, 3]) return?",3,2,4,1,A,"len() returns the number of elements in a container. The list [1, 2, 3] has 3 elements.",
19,Python,Lists,Medium,mcq,What is the difference between list.sort() and sorted(list)?,sort() modifies in-place and returns None; sorted() returns a new list,They are identical,sorted() modifies in-place,sort() returns a new list,A,"list.sort() sorts in-place and returns None. sorted() creates and returns a new sorted list, leaving the original unchanged.",
20,Python,Lists,Medium,mcq,"What does [1, 2, 3] + [4, 5] produce?","[1, 2, 3, 4, 5]","[5, 7, 3]",Error,"[[1,2,3],[4,5]]",A,"The + operator concatenates two lists, creating a new list with all elements from both lists.",
21,Python,Lists,Hard,mcq,What is the time complexity of list.pop(0) in Python?,O(n),O(1),O(log n),O(n^2),A,"Removing the first element requires shifting all remaining elements, making it O(n). Use collections.deque for O(1) popleft.",
22,Python,Lists,Easy,mcq,How do you create an empty list in Python?,[] or list(),() or tuple(),{} or dict(),new List(),A,An empty list is created with [] literal syntax or by calling list() with no arguments.,
23,Python,Lists,Medium,mcq,"What does list.extend([4, 5]) do compared to list.append([4, 5])?",extend adds each element individually; append adds the list as one element,They are identical,extend adds as one element; append adds individually,Both raise errors,A,extend() iterates over the argument and adds each element. append() adds the entire argument as a single element.,
24,Python,Lists,Hard,mcq,What is the result of a = [1]; b = a; b.append(2); print(a)?,"[1, 2]",[1],[2],Error,A,b = a does not copy the list; both variables reference the same object. Modifying b also modifies a.,
25,Python,Dicts,Easy,mcq,How do you access the value associated with key 'name' in a dictionary d?,d['name'],d.name,d.get_value('name'),d->name,A,Dictionary values are accessed using bracket notation d['key']. d.get('name') also works with a default.,
26,Python,Dicts,Easy,mcq,Which method returns all keys of a dictionary?,keys(),values(),items(),get(),A,"dict.keys() returns a view object containing all keys. values() returns values, items() returns key-value pairs.",
