"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Postman","Collections","Easy","mcq","What is a Postman Collection?","A group of saved API requests","A database table","A server configuration","A CSS stylesheet","A","A Postman Collection is a group of saved API requests that can be organized, shared, and run together.",""
"2","Postman","Collections","Easy","mcq","Which format does Postman use to export collections?","JSON","XML","YAML","CSV","A","Postman exports collections in JSON format following the Postman Collection Format.",""
"3","Postman","Collections","Medium","mcq","What is the latest Postman Collection format version?","v2.1","v1.0","v3.0","v2.0","A","The latest Postman Collection format is v2.1, which provides improved structure and features.",""
"4","Postman","Collections","Medium","mcq","Which feature allows you to run all requests in a collection sequentially?","Collection Runner","Request Builder","Console Logger","API Monitor","A","The Collection Runner executes all requests in a collection in sequence and displays results.",""
"5","Postman","Collections","Hard","mcq","How can you share a Postman collection with team members?","All of the above","Export as JSON file","Share via workspace","Generate a public link","A","Collections can be shared via JSON export, workspace sharing, or public links.",""
"6","Postman","Collections","Easy","mcq","What is a folder in a Postman Collection used for?","Organizing related requests","Storing environment variables","Running automated tests","Configuring authentication","A","Folders within a collection help organize related requests into logical groups.",""
"7","Postman","Collections","Medium","mcq","Which HTTP methods can be used in a Postman Collection request?","All standard HTTP methods","Only GET and POST","Only GET, POST, and PUT","Only GET","A","Postman supports all standard HTTP methods including GET, POST, PUT, PATCH, DELETE, HEAD, OPTIONS, etc.",""
"8","Postman","Collections","Hard","mcq","What happens when you fork a collection in Postman?","A copy is created that can be merged back","The original collection is deleted","A new workspace is created","The collection is exported as JSON","A","Forking creates an independent copy of the collection that maintains a link to the source for merging changes.",""
"9","Postman","Collections","Easy","mcq","How do you create a new collection in Postman?","Click the New button and select Collection","Type 'new collection' in the URL bar","Use the terminal command 'postman new'","Right-click on the workspace","A","You create a new collection by clicking the New button in the sidebar and selecting Collection.",""
"10","Postman","Collections","Medium","mcq","What is a collection variable scope in Postman?","Variables accessible only within that collection","Variables shared across all collections","Variables only for the first request","Variables stored in the OS","A","Collection variables are scoped to a specific collection and available to all requests within it.",""
"11","Postman","Collections","Hard","mcq","Which of the following is true about collection-level authorization?","It applies to all requests unless overridden","It cannot be changed per request","It only works with API keys","It is not supported in Postman","A","Collection-level auth applies to all requests by default but individual requests can override it.",""
"12","Postman","Collections","Easy","mcq","What file extension does an exported Postman collection have?",".json",".postman",".collection",".api","A","Exported Postman collections are saved as .json files.",""
"13","Postman","Collections","Medium","mcq","Can you add descriptions to collection requests in Postman?","Yes, using Markdown format","No, descriptions are not supported","Only plain text is allowed","Only for GET requests","A","Postman supports Markdown-formatted descriptions for collections, folders, and requests.",""
"14","Postman","Collections","Hard","mcq","What is the purpose of collection webhooks in Postman?","Trigger collection runs via HTTP POST","Send email notifications","Monitor API uptime","Generate API documentation","A","Collection webhooks allow triggering collection runs programmatically via an HTTP POST request.",""
"15","Postman","Collections","Medium","mcq","How does Postman handle request ordering in the Collection Runner?","Top to bottom by default","Alphabetical order","Random order","By creation date","A","The Collection Runner executes requests from top to bottom in the order they appear.",""
"16","Postman","Collections","Hard","mcq","What is the maximum number of iterations supported in the Collection Runner?","There is no fixed maximum","100","1000","50","A","The Collection Runner does not impose a fixed maximum number of iterations.",""
"17","Postman","Environments","Easy","mcq","What is an environment in Postman?","A set of key-value pairs for different contexts","A programming language","A testing framework","A server instance","A","An environment in Postman is a set of key-value pairs that allow you to customize requests for different contexts.",""
"18","Postman","Environments","Easy","mcq","How do you switch between environments in Postman?","Using the environment dropdown in the top-right","Restarting Postman","Creating a new workspace","Editing the URL manually","A","You switch environments using the dropdown selector in the top-right corner of the Postman interface.",""
"19","Postman","Environments","Medium","mcq","What is the difference between initial and current value in an environment variable?","Initial is shared with team, current is local only","They are the same","Initial is for GET, current for POST","Current is shared, initial is local","A","The initial value is synced and shared with team members, while the current value is used locally and not synced.",""
"20","Postman","Environments","Medium","mcq","Can you have multiple active environments at the same time in Postman?","No, only one environment can be active","Yes, up to 3","Yes, unlimited","Only in paid plans","A","Only one environment can be active at a time in Postman.",""
"21","Postman","Environments","Hard","mcq","How can environments be shared in a Postman team workspace?","By adding them to the workspace","Only by exporting JSON","They cannot be shared","Only through email","A","Environments can be shared by adding them to a team workspace where all members can access them.",""
"22","Postman","Environments","Easy","mcq","Which symbol is used to reference environment variables in Postman?","Double curly braces {{}}","Dollar sign $","Percent sign %","Hash #","A","Environment variables are referenced using double curly braces syntax: {{variableName}}.",""
"23","Postman","Environments","Medium","mcq","What happens to environment variables when you delete an environment?","All variables in that environment are deleted","Variables are moved to globals","Variables persist independently","Variables are backed up automatically","A","Deleting an environment removes all variables defined within it.",""
"24","Postman","Environments","Hard","mcq","How do you programmatically set an environment variable in a test script?","pm.environment.set('key', 'value')","env.set('key', 'value')","postman.env('key', 'value')","setEnvironment('key', 'value')","A","The pm.environment.set() method is used to programmatically set environment variables in scripts.",""
"25","Postman","Environments","Easy","mcq","What format is used when exporting an environment from Postman?","JSON","XML","YAML","INI","A","Postman exports environments in JSON format.",""
"26","Postman","Environments","Medium","mcq","Which of the following is NOT a valid way to create an environment?","Using the command line","Clicking the Environments tab","Importing a JSON file","Duplicating an existing environment","A","Environments are created within the Postman UI or by importing, not through command line.",""
"27","Postman","Environments","Hard","mcq","What is the purpose of environment templates in Postman?","To define variable structure without values for team use","To create API documentation","To generate mock responses","To configure webhooks","A","Environment templates define the structure of variables without actual values, allowing team members to fill in their own.",""
"28","Postman","Environments","Easy","mcq","Where can you view all environment variables in Postman?","Environment Quick Look (eye icon)","In the console","In the URL bar","In the headers tab","A","The Environment Quick Look feature (eye icon) shows all current environment variables.",""
"29","Postman","Environments","Medium","mcq","Can environment variables store sensitive data like passwords?","Yes, but use current value only to avoid syncing","No, Postman does not allow it","Yes, they are encrypted by default","Only in enterprise plans","A","Sensitive data can be stored in environment variables using current values which are not synced to the cloud.",""
"30","Postman","Environments","Hard","mcq","How do you clear all current values in an environment programmatically?","pm.environment.clear()","pm.environment.deleteAll()","pm.clearEnvironment()","environment.reset()","A","pm.environment.clear() removes all variables from the current environment.",""
"31","Postman","Environments","Medium","mcq","What is the scope order of variable resolution in Postman (highest to lowest)?","Local > Data > Environment > Collection > Global","Global > Environment > Collection > Local","Environment > Global > Local > Collection","Collection > Environment > Global > Local","A","Postman resolves variables in order: Local > Data > Environment > Collection > Global.",""
"32","Postman","Environments","Hard","mcq","Which method retrieves an environment variable in a pre-request script?","pm.environment.get('key')","pm.globals.get('key')","pm.request.get('key')","pm.data.get('key')","A","pm.environment.get() is used to retrieve environment variables in pre-request or test scripts.",""
